,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2
0,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,31,23,74%,8,26%,0,0%,0,0%,0,0%,0.314516129,1.258064508
1,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,63,30,48%,27,43%,6,10%,0,0%,6,10%,0.404761905,1.619047634
2,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,28,24,86%,4,14%,0,0%,0,0%,0,0%,0.285714286,1.142857164
3,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,61,40,66%,16,26%,5,8%,0,0%,5,8%,0.356557377,1.42622947
4,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,28,20,71%,8,29%,0,0%,0,0%,0,0%,0.321428571,1.285714328
5,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,58,13,22%,33,57%,12,21%,0,0%,12,21%,0.495689655,1.982758597
6,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
7,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
8,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
9,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
10,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,1,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
11,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,1,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
12,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,Keystone,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,31,23,74%,8,26%,0,0%,0,0%,0,0%,0.314516129,1.258064508
13,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,Keystone,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,63,30,48%,27,43%,6,10%,0,0%,6,10%,0.404761905,1.619047634
14,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,Keystone,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,28,24,86%,4,14%,0,0%,0,0%,0,0%,0.285714286,1.142857164
15,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,Keystone,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,61,40,66%,16,26%,5,8%,0,0%,5,8%,0.356557377,1.42622947
16,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,Keystone,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,28,20,71%,8,29%,0,0%,0,0%,0,0%,0.321428571,1.285714328
17,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,Keystone,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,58,13,22%,33,57%,12,21%,0,0%,12,21%,0.495689655,1.982758597
18,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,PSSA,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
19,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,PSSA,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
20,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,PSSA,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
21,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,PSSA,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
