ULCS_NO,SCHOOL_YEAR,INCIDENT_TYPE,INCIDENT_COUNT,SCHOOL_ID
"5260","2013-2014","HARASSMENT",1,"526"
"5340","2013-2014","ASSAULTS",5,"534"
"5350","2013-2014","THREATS",8,"535"
"5370","2013-2014","TAKE OFF",0,"537"
"5450","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"545"
"5480","2013-2014","BURGLARY",0,"548"
"5510","2013-2014","TRESPASSING",1,"551"
"5520","2013-2014","BULLYING",0,"552"
"5530","2013-2014","WEAPONS",0,"553"
"6010","2013-2014","ASSAULTS",1,"601"
"6050","2013-2014","BOMB SCARE",0,"605"
"6210","2013-2014","HARASSMENT",0,"621"
"6250","2013-2014","FIRE - INCENDIARY",0,"625"
"6300","2013-2014","ROBBERY",0,"630"
"5320","2013-2014","BULLYING",1,"532"
"1060","2013-2014","TAKE OFF",0,"106"
"1100","2013-2014","BULLYING",0,"110"
"1130","2013-2014","THEFT",1,"113"
"1230","2013-2014","THEFT",1,"123"
"1230","2013-2014","TRESPASSING",1,"123"
"1330","2013-2014","BURGLARY",0,"133"
"1330","2013-2014","ROBBERY",0,"133"
"1330","2013-2014","THREATS",0,"133"
"1360","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"136"
"1420","2013-2014","TRESPASSING",2,"142"
"1460","2013-2014","HARASSMENT",0,"146"
"1470","2013-2014","THREATS",3,"147"
"2010","2013-2014","HARASSMENT",1,"201"
"2010","2013-2014","VANDALISM",10,"201"
"2020","2013-2014","THREATS",0,"202"
"2090","2013-2014","ROBBERY",0,"209"
"1420","2013-2014","BOMB SCARE",0,"142"
"5330","2013-2014","HARASSMENT",0,"533"
"5340","2013-2014","ROBBERY",0,"534"
"5340","2013-2014","TRESPASSING",0,"534"
"5430","2013-2014","DISORDERLY CONDUCT",6,"543"
"5430","2013-2014","THREATS",2,"543"
"5530","2013-2014","TRESPASSING",0,"553"
"6060","2013-2014","BURGLARY",0,"606"
"6070","2013-2014","FIRE - INCENDIARY",0,"607"
"6070","2013-2014","THREATS",0,"607"
"6260","2013-2014","TAKE OFF",0,"626"
"6380","2013-2014","ASSAULTS",1,"638"
"1440","2013-2014","BOMB SCARE",0,"144"
"1460","2013-2014","ROBBERY",1,"146"
"1460","2013-2014","THEFT",0,"146"
"2010","2013-2014","FIRE - INCENDIARY",6,"201"
"2130","2013-2014","DISORDERLY CONDUCT",0,"213"
"2240","2013-2014","FIRE - INCENDIARY",0,"224"
"2320","2013-2014","ASSAULTS",13,"232"
"2320","2013-2014","TRESPASSING",0,"232"
"2340","2013-2014","DISORDERLY CONDUCT",2,"234"
"2370","2013-2014","TAKE OFF",0,"237"
"2510","2013-2014","HARASSMENT",0,"251"
"2520","2013-2014","DISORDERLY CONDUCT",3,"252"
"2580","2013-2014","SUICIDE",0,"258"
"7400","2013-2014","FIRE - INCENDIARY",0,"740"
"7470","2013-2014","DISORDERLY CONDUCT",4,"747"
"8120","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"812"
"8250","2013-2014","TRESPASSING",0,"825"
"8310","2013-2014","BOMB SCARE",0,"831"
"8340","2013-2014","DISORDERLY CONDUCT",35,"834"
"8360","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"836"
"8400","2013-2014","TAKE OFF",0,"840"
"6310","2013-2014","TRESPASSING",0,"631"
"2720","2013-2014","THREATS",2,"272"
"7320","2013-2014","ASSAULTS",0,"732"
"7360","2013-2014","BURGLARY",0,"736"
"7390","2013-2014","BULLYING",1,"739"
"7510","2013-2014","FIRE - INCENDIARY",0,"751"
"7730","2013-2014","THEFT",1,"773"
"8010","2013-2014","HARASSMENT",1,"801"
"8030","2013-2014","ASSAULTS",34,"803"
"8040","2013-2014","FIRE - INCENDIARY",0,"804"
"8040","2013-2014","SUICIDE",0,"804"
"8140","2013-2014","MORALS OFFENSES",5,"814"
"8250","2013-2014","ASSAULTS",0,"825"
"8270","2013-2014","SUICIDE",0,"827"
"8340","2013-2014","ASSAULTS",1,"834"
"8350","2013-2014","DISORDERLY CONDUCT",12,"835"
"8390","2013-2014","ASSAULTS",6,"839"
"8430","2013-2014","BOMB SCARE",1,"843"
"7220","2013-2014","FIRE - INCENDIARY",0,"722"
"1010","2013-2014","DISORDERLY CONDUCT",23,"101"
"1050","2013-2014","DISORDERLY CONDUCT",2,"105"
"1060","2013-2014","WEAPONS",0,"106"
"1080","2013-2014","VANDALISM",0,"108"
"1230","2013-2014","VANDALISM",1,"123"
"1300","2013-2014","WEAPONS",0,"130"
"1350","2013-2014","TRESPASSING",0,"135"
"1370","2013-2014","DISORDERLY CONDUCT",22,"137"
"1390","2013-2014","ASSAULTS",0,"139"
"1390","2013-2014","BULLYING",0,"139"
