School|School ID|Full Address|Enrollment|Rpt Type Long|Governance|Achievement_Score_Final|Progress_Score_Final|Climate_Score_Final|Overall_Score_Final|Latitude|Longitude|SafetyIncidentRate|SafetyScore
John Bartram High School|101|2401 S 67th St, Philadelphia, PA 19142|601|High School|District|0.0|28.0|11.0|14|39.9214696666667|-75.23401775|5.657237936772046|67.0
West Philadelphia High School|102|4901 Chestnut St, Philadelphia, PA 19139|483|High School|District|0.0|44.0|14.0|22|39.9585868|-75.2194308877896|4.503105590062112|74.0
High School of the Future|103|4021 Parkside Ave, Philadelphia, PA 19104|476|High School|District|3.0|27.0|46.0|23|39.9746780740741|-75.2048263703704|4.989495798319328|71.0
Paul Robeson High School for Human Services|105|4125 Ludlow St, Philadelphia, PA 19104|297|High School|District|0.0|60.0|61.0|41|39.956796755102|-75.2048327346939|0.5050505050505051|97.0
William L. Sayre High School|110|5800 Walnut St, Philadelphia, PA 19139|492|High School|District|0.0|13.0|12.0|8|39.958371|-75.237623|5.640243902439025|67.0
William T. Tilden School|113|6601 Elmwood Ave, Philadelphia, PA 19142|363|Middle School|District|1.0|19.0|17.0|13|39.9211734090909|-75.2316281818182|6.8181818181818175|60.0
Motivation High School|119|5900 Baltimore Ave, Philadelphia, PA 19143|387|High School|District|4.0|27.0|55.0|28|39.945169|-75.241869|1.808785529715762|89.0
John Barry School|120|5900 Race St, Philadelphia, PA 19139|694|K8 School|District|6.0|83.0|9.0|32|39.964748|-75.238312|2.989913544668588|82.0
William C. Bryant School|123|6001 Cedar Ave, Philadelphia, PA 19143|403|K8 School|District|7.0|49.0|14.0|23|39.952533|-75.242895|2.729528535980149|84.0
Joseph W. Catharine School|125|6600 Chester Ave, Philadelphia, PA 19142|567|Elementary School|District|21.0|26.0|51.0|32|39.92788|-75.239539|0.3527336860670194|98.0
Benjamin B. Comegys School|126|5100 Greenway Ave, Philadelphia, PA 19143|516|K8 School|District|3.0|1.0|11.0|5|39.940013|-75.216421|2.1802325581395348|87.0
Sadie Alexander School|128|4209 Spruce St, Philadelphia, PA 19104|569|K8 School|District|86.0|77.0|95.0|85|39.9523338333333|-75.2071695|0.0|100.0
Andrew Hamilton School|129|5640 Spruce St, Philadelphia, PA 19139|587|K8 School|District|6.0|13.0|11.0|11|39.9555371836735|-75.2343130612245|2.0442930153321974|88.0
Avery D. Harrington School|130|5300 Baltimore Ave, Philadelphia, PA 19143|493|K8 School|District|10.0|0.0|7.0|6|39.947712|-75.230033|2.079107505070994|88.0
Henry C. Lea School|134|4700 Locust St, Philadelphia, PA 19139|526|K8 School|District|15.0|83.0|25.0|41|39.954524|-75.216047|2.2338403041825097|87.0
William C. Longstreth School|135|5700 Willows Ave, Philadelphia, PA 19143|498|K8 School|District|1.0|64.0|19.0|28|39.93985555|-75.2329545049643|1.2550200803212852|93.0
