INCIDENT_TYPE|SCHOOL_ID|School|INCIDENT_COUNT|Enrollment|Incident_rate|TotalIncidentRate
Assaults|101|John Bartram High School|71|2404.0|0.7383527454242929|1.528702163061564
Assaults|102|West Philadelphia High School|40|1932.0|0.5175983436853002|1.125776397515528
Assaults|103|High School of the Future|52|1904.0|0.6827731092436975|1.4136904761904763
Assaults|105|Paul Robeson High School for Human Services|1|891.0|0.028058361391694726|0.14029180695847365
Assaults|110|William L. Sayre High School|70|1968.0|0.8892276422764228|1.4524051490514904
Assaults|113|William T. Tilden School|65|1452.0|1.1191460055096418|1.7791551882460972
Assaults|119|Motivation High School|16|1548.0|0.25839793281653745|0.45757967269595173
Assaults|120|John Barry School|56|2776.0|0.5043227665706052|0.7504803073967339
Assaults|123|William C. Bryant School|27|1612.0|0.41873449131513646|0.7030603804797354
Assaults|125|Joseph W. Catharine School|1|1701.0|0.014697236919459141|0.09185773074661963
Assaults|126|Benjamin B. Comegys School|26|2064.0|0.31492248062015504|0.5612080103359173
Assaults|128|Sadie Alexander School|0|1707.0|0.0|0.0
Assaults|129|Andrew Hamilton School|33|2348.0|0.3513628620102215|0.5110732538330494
Assaults|130|Avery D. Harrington School|30|1972.0|0.3803245436105477|0.5620351588911427
Assaults|134|Henry C. Lea School|18|2104.0|0.21387832699619772|0.5584600760456274
Assaults|135|William C. Longstreth School|17|1992.0|0.21335341365461846|0.3137550200803213
Assaults|136|Morton McMichael School|13|1600.0|0.203125|0.3541666666666667
Assaults|137|S. Weir Mitchell School|53|2244.0|0.5904634581105169|1.036096256684492
Assaults|138|Thomas G. Morton School|13|2532.0|0.1283570300157978|0.2665876777251185
Assaults|139|Samuel Powel School|0|852.0|0.0|0.029342723004694836
Assaults|140|John M. Patterson School|0|1929.0|0.0|0.09072058061171592
Assaults|141|James Rhoads School|39|2252.0|0.43294849023090587|0.6660746003552398
Assaults|142|Martha Washington School|12|1620.0|0.18518518518518517|0.4012345679012346
Assaults|144|Penrose School|27|2360.0|0.2860169491525424|0.4555084745762712
Assaults|146|Add B. Anderson School|19|1880.0|0.2526595744680851|0.4166666666666667
Assaults|147|Alain Locke School|24|1788.0|0.33557046979865773|0.5686055182699479
