INCIDENT_COUNT|INCIDENT_TYPE|SCHOOL_ID|SCHOOL_YEAR|School|Rpt Type Long|Governance|Grades Served|Enrollment|Incident_rate
1|Harassment|526|2013-2014|Lewis Elkin School|Elementary School|District|'K-4'|866.0|0.11547344110854503
5|Assaults|534|2013-2014|James R. Ludlow School|K8 School|District|'K-8'|312.0|1.6025641025641026
8|Threat|535|2013-2014|William McKinley School|K8 School|District|'K-8'|460.0|1.7391304347826086
0|Take Off|537|2013-2014|John Moffet School|Elementary School|District|'K-5'|345.0|0.0
0|Burglary|548|2013-2014|General Philip Kearny School|K8 School|District|'K-8'|401.0|0.0
0|Bullying|552|2013-2014|Kensington High School for Creative and Performing Arts|High School|District|'9-12'|505.0|0.0
0|Weapons|553|2013-2014|Philip H. Sheridan School|Elementary School|District|'K-4'|730.0|0.0
1|Assaults|601|2013-2014|Central High School|High School|District|'9-12'|2315.0|0.04319654427645788
0|Bomb Scare|605|2013-2014|Philadelphia High School for Girls|High School|District|'9-12'|1013.0|0.0
0|Harassment|621|2013-2014|Franklin S. Edmonds School|Elementary School|District|'K-6'|516.0|0.0
0|Fire - Incendiary|625|2013-2014|Charles W. Henry School|K8 School|District|'K-8'|479.0|0.0
0|Robbery|630|2013-2014|James Logan School|Elementary School|District|'K-5'|326.0|0.0
1|Bullying|532|2013-2014|John F. Hartranft School|K8 School|District|'K-8'|520.0|0.19230769230769232
0|Bullying|110|2013-2014|William L. Sayre High School|High School|District|'9-12'|492.0|0.0
1|Theft|113|2013-2014|William T. Tilden School|Middle School|District|'5-8'|363.0|0.27548209366391185
1|Theft|123|2013-2014|William C. Bryant School|K8 School|District|'K-8'|403.0|0.24813895781637718
1|Trespassing|123|2013-2014|William C. Bryant School|K8 School|District|'K-8'|403.0|0.24813895781637718
0|Drug And Alcohol Offenses|136|2013-2014|Morton McMichael School|K8 School|District|'K-8'|400.0|0.0
2|Trespassing|142|2013-2014|Martha Washington School|K8 School|District|'K-8'|405.0|0.49382716049382713
0|Harassment|146|2013-2014|Add B. Anderson School|K8 School|District|'K-8'|470.0|0.0
3|Threat|147|2013-2014|Alain Locke School|K8 School|District|'K-8'|447.0|0.6711409395973155
1|Harassment|201|2013-2014|Benjamin Franklin High School|High School|District|'9-12'|547.0|0.18281535648994515
10|Vandalism|201|2013-2014|Benjamin Franklin High School|High School|District|'9-12'|547.0|1.8281535648994516
0|Threat|202|2013-2014|High School for Creative and Performing Arts School|High School|District|'9-12'|693.0|0.0
0|Bomb Scare|142|2013-2014|Martha Washington School|K8 School|District|'K-8'|405.0|0.0
0|Harassment|533|2013-2014|William H. Hunter School|K8 School|District|'K-8'|527.0|0.0
0|Robbery|534|2013-2014|James R. Ludlow School|K8 School|District|'K-8'|312.0|0.0
